frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,mixdir_name
0,0,-5.265176752370912,-8.643677219762523,-3.3785004673916115,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
1,0,-9.144143319088634,-8.191589142142803,0.9525541769458314,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
2,0,-11.563906450307568,-11.379452785374884,0.18445366493268445,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
3,0,-3.4188532694885723,-0.6111689012340524,2.80768436825452,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
4,0,-2.915948713645772,-1.3370305879748015,1.5789181256709706,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
5,0,-9.318551145143317,-6.331523246282833,2.987027898860484,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
6,0,-4.65978437953519,-5.100307465627179,-0.4405230860919893,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
7,0,-3.9220954945007866,-3.9454277018210657,-0.023332207320279075,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
8,0,-3.9763980547108386,-1.7126784829482564,2.263719571762582,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
9,0,-3.851343068289511,-7.927149134665857,-4.075806066376346,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
10,0,-5.169429830366113,-5.006209713699646,0.16322011666646663,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
11,0,-10.679535879580168,-12.512809295233428,-1.8332734156532595,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
12,0,-9.091608301908359,-13.672132013924735,-4.580523712016376,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
13,0,-0.7212552887771823,-9.108089353131481,-8.386834064354298,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
14,0,-2.9241436247696626,-4.055056191626708,-1.1309125668570452,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
15,0,-2.641674904403869,-4.076811519141637,-1.4351366147377682,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
16,0,-9.007597625250053,-15.249938759077681,-6.242341133827628,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
17,0,-2.9853544683260314,-10.373470697645555,-7.3881162293195235,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
18,0,-6.413524208110205,-0.22970893425952899,6.183815273850676,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
19,0,-6.460592172095385,-1.8775849555391462,4.583007216556239,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
20,0,-2.530160943301028,0.28733612398684183,2.81749706728787,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
21,0,-1.2542773441031543,-0.283037275767946,0.9712400683352083,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
22,0,-7.881660123106936,0.12313615959485567,8.004796282701792,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
23,0,-18.185036967199085,-26.138428899837287,-7.953391932638201,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
24,0,-0.8514065411319014,-4.120958688734612,-3.269552147602711,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
25,0,-3.5967640041395517,-6.602043125391109,-3.0052791212515575,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
26,0,-2.5638265024097295,1.943104026371358,4.506930528781087,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
27,0,-8.125270024011716,-4.149477985444287,3.9757920385674286,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
28,0,-13.87015955352625,-6.410889154466962,7.459270399059288,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
29,0,-1.4589482721365712,-3.742855057964059,-2.2839067858274875,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
0,1,-2.519163074202593,-3.0399643671473338,-0.520801292944741,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
1,1,-7.802984305442214,-5.5170264577354615,2.2859578477067526,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
2,1,-1.1109708659892434,-1.502969652752188,-0.39199878676294464,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
3,1,-11.095500831275418,-9.964708651237661,1.1307921800377567,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
4,1,-4.049188695325483,-5.241985432199065,-1.1927967368735812,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
5,1,0.6978202734959542,-0.7786190020144456,-1.4764392755103999,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
6,1,-3.1800672911815537,-4.402384229246755,-1.2223169380652017,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
7,1,-6.13328639895186,-8.537327865054884,-2.404041466103024,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
8,1,-5.9299674715372666,1.169535129592608,7.099502601129874,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
9,1,-2.3727748666771564,-1.5437527146746048,0.8290221520025516,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
10,1,-4.387785700886927,-8.309924455796656,-3.922138754909729,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
11,1,-7.819411782483802,-2.9105060429887883,4.9089057394950135,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
12,1,-4.4027095955384,-4.94984063634522,-0.5471310408068204,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
13,1,-12.333909339271242,-16.06362319735791,-3.729713858086667,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
14,1,-4.9605865525268165,-2.62291590838774,2.3376706441390764,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
15,1,-5.993811071764066,-7.468775471674512,-1.474964399910446,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
16,1,-1.200147391651423,-1.3524411301170831,-0.1522937384656602,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
17,1,-3.4288849472709577,-1.086577109373503,2.3423078378974544,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
18,1,-7.271643051543881,-1.8096355615796842,5.462007489964197,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
19,1,-2.6335917511970734,-6.682163695767885,-4.048571944570812,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
20,1,-6.5249965207799985,-2.354631279306434,4.170365241473565,batch,4096,1024,hamming,IP1,Gauss,50,0,1000,40,0.96,mix
