frame,channel,SDR_mix,SDR_est,SDR_imp,process,fft.len,fft.hop,fft.win,bss.demix_update,bss.source_model,bss.n_iter,bss.ref_mic,bss.f_limit,bss.rot,bss.forget,bss.cov_scale,bss.cov_norm
0,0,-4.946291983694162,-9.037809071213264,-4.091517087519102,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
1,0,-6.759726731381644,-7.3197503665388375,-0.5600236351571937,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
2,0,-3.0730740108367307,-15.804509069883732,-12.731435059047001,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
3,0,-8.995781320046284,-6.238534643490875,2.7572466765554084,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
4,0,-5.015927708852934,-9.844302111070064,-4.82837440221713,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
5,0,-4.463751321447933,7.384540428524221,11.848291749972155,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
6,0,-7.833846939463728,1.3671631994913591,9.201010138955088,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
7,0,-0.35411566188649873,1.8061555698298069,2.1602712317163055,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
8,0,-13.386631309068628,-9.782413048076098,3.60421826099253,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
9,0,-7.217326111850619,-7.824606423228506,-0.6072803113778864,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
10,0,-4.1859881828228565,4.442083577487517,8.628071760310373,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
11,0,-4.120760208862528,-1.3073979241114728,2.8133622847510553,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
12,0,-3.1973213197170187,1.4864061705915974,4.683727490308616,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
13,0,-11.091116204457583,9.728784843549768,20.819901048007353,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
14,0,-4.667486127005139,10.078189505929442,14.745675632934582,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
15,0,-5.06481016812831,9.08939641405142,14.154206582179729,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
16,0,-6.906447202630134,12.243336474376548,19.14978367700668,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
17,0,-6.923822346045255,6.472780532845048,13.396602878890302,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
18,0,-4.254409115159009,14.75988725925762,19.01429637441663,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
19,0,-5.630585314036718,9.209877051191274,14.840462365227992,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
20,0,-6.880542155365984,0.31667109993532516,7.1972132553013095,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
21,0,-11.095304774142827,2.2003267206334174,13.295631494776245,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
22,0,-5.262492236193737,14.86876871600781,20.131260952201547,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
23,0,-7.071585865077694,8.510355065312478,15.581940930390171,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
24,0,-7.84952708564812,3.9240249816356894,11.77355206728381,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
25,0,-2.0507992801818267,9.500765474146926,11.551564754328751,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
26,0,-9.683643199295815,2.060645849869715,11.74428904916553,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
27,0,-12.807844485232586,0.12596458127232732,12.933809066504914,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
28,0,-3.6569299147726744,8.476761264874618,12.133691179647293,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
29,0,-0.6197770483926158,5.636118339126439,6.255895387519055,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
30,0,-9.596743325612977,-11.030583732067704,-1.4338404064547277,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
31,0,-7.604254755401766,-10.057154487467471,-2.4528997320657053,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
32,0,-2.9000657751829335,0.10645335900257685,3.00651913418551,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
33,0,-8.255559691082993,-5.539666034111635,2.7158936569713585,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
34,0,-12.231574191586871,-9.913280265630416,2.3182939259564552,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
35,0,-5.995976227311148,-3.286127095045926,2.7098491322652225,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
36,0,-7.207183432489713,-3.086495612816811,4.120687819672902,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
37,0,-6.307294125108957,-5.972333745720768,0.334960379388189,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
38,0,-12.098570985586592,-5.661838118829198,6.436732866757394,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
39,0,0.20223121905861874,7.821416667528153,7.619185448469534,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
40,0,-5.6719403407188285,4.028742247326327,9.700682588045154,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
41,0,-3.075567068332349,5.248880634067206,8.324447702399555,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
42,0,-4.6634773622877255,4.953274121739266,9.616751484026992,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
43,0,-10.253691625421919,5.706967251376356,15.960658876798274,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
44,0,-1.980607863334748,6.4079441579706655,8.388552021305413,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
45,0,-2.0616773024985107,4.359816853033742,6.421494155532253,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
46,0,-10.099321981602284,-0.12472063989169435,9.974601341710589,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
47,0,-7.16780252167047,0.42045797063687185,7.5882604923073425,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
48,0,-3.7262682912907206,7.067077810243525,10.793346101534246,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
49,0,-1.5148983737128294,5.4502515099467095,6.965149883659539,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
50,0,-6.6700184293253715,7.178613800691737,13.84863223001711,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
51,0,-6.079001677568934,0.4949201528514585,6.573921830420392,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
52,0,-9.598163970097835,6.757018992399935,16.35518296249777,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
53,0,-5.855497899195333,6.443325127865579,12.298823027060912,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
54,0,-9.554763717516323,3.5421830859240027,13.096946803440325,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
55,0,-6.55457816049072,-0.2495878834548089,6.304990277035911,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
56,0,-9.621308133709533,-0.3226487582416865,9.298659375467846,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
57,0,-8.501721058331878,-0.7000241637399991,7.8016968945918785,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
58,0,-7.112169045077614,3.5255443079555375,10.637713353033153,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
59,0,-9.48282572111188,3.912601618184067,13.395427339295946,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
0,1,-6.418802181420937,-22.79491718925592,-16.376115007834983,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
1,1,-6.437524323419303,-5.917794674150887,0.5197296492684158,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
2,1,-10.781902378381796,-11.824820015925393,-1.0429176375435976,online-reset,4096,,hamming,IP1,Gauss,5,0,8000,40,0.91,0.001,0.001
