process,bss.demix_update,bss.source_model,bss.forget,bss.n_iter,bss.f_limit,mixdir_name,SDR_mix,SDR_est,SDR_imp
online,IP1,Gauss,0.97,2,500,int,-0.5588510423030962,-2.8106607475317094,-2.251809705228613
online,IP1,Gauss,0.97,2,500,rot-mix,-0.5588510423030962,-3.0599272671385975,-2.5010762248355016
online,IP1,Gauss,0.97,2,1000,int,-0.5588510423030962,-1.6297813023022083,-1.0709302599991122
online,IP1,Gauss,0.97,2,1000,rot-mix,-0.5588510423030962,-2.3958887818048327,-1.8370377395017363
online,IP1,Gauss,0.97,2,2000,int,-0.5588510423030962,0.5185678778532733,1.0774189201563695
online,IP1,Gauss,0.97,2,2000,rot-mix,-0.5588510423030962,-0.8021339548640506,-0.2432829125609541
online,IP1,Gauss,0.97,2,4000,int,-0.5588510423030962,1.3242695569289402,1.8831205992320366
online,IP1,Gauss,0.97,2,4000,rot-mix,-0.5588510423030962,-0.5855745886509176,-0.026723546347821373
online,IP1,Gauss,0.97,2,8000,int,-0.5588510423030962,0.599672413911321,1.1585234562144173
online,IP1,Gauss,0.97,2,8000,rot-mix,-0.5588510423030962,-2.3942125113489436,-1.8353614690458475
online,IP1,Gauss,0.97,5,500,int,-0.5588510423030962,-4.9139003561678996,-4.355049313864803
online,IP1,Gauss,0.97,5,500,rot-mix,-0.5588510423030962,-4.611856101498077,-4.05300505919498
online,IP1,Gauss,0.97,5,1000,int,-0.5588510423030962,-4.672800208265659,-4.113949165962562
online,IP1,Gauss,0.97,5,1000,rot-mix,-0.5588510423030962,-5.035282260002004,-4.476431217698908
online,IP1,Gauss,0.97,5,2000,int,-0.5588510423030962,-5.398378484727386,-4.83952744242429
online,IP1,Gauss,0.97,5,2000,rot-mix,-0.5588510423030962,-6.53024448129147,-5.9713934389883745
online,IP1,Gauss,0.97,5,4000,int,-0.5588510423030962,-7.192748618587468,-6.6338975762843715
online,IP1,Gauss,0.97,5,4000,rot-mix,-0.5588510423030962,-7.515050907948971,-6.956199865645874
online,IP1,Gauss,0.97,5,8000,int,-0.5588510423030962,0.4292111327908846,0.9880621750939808
online,IP1,Gauss,0.97,5,8000,rot-mix,-0.5588510423030962,-1.56989129608037,-1.0110402537772738
online,IP1,Gauss,0.99,2,500,int,-0.5588510423030962,-2.1573241908039207,-1.5984731485008246
online,IP1,Gauss,0.99,2,500,rot-mix,-0.5588510423030962,-0.9960215732616242,-0.4371705309585279
online,IP1,Gauss,0.99,2,1000,int,-0.5588510423030962,2.232685401752615,2.7915364440557116
online,IP1,Gauss,0.99,2,1000,rot-mix,-0.5588510423030962,-0.3077732394966426,0.25107780280645375
online,IP1,Gauss,0.99,2,2000,int,-0.5588510423030962,5.333205501453034,5.892056543756131
online,IP1,Gauss,0.99,2,2000,rot-mix,-0.5588510423030962,1.8071591367801625,2.3660101790832586
online,IP1,Gauss,0.99,2,4000,int,-0.5588510423030962,8.965617773211598,9.524468815514695
online,IP1,Gauss,0.99,2,4000,rot-mix,-0.5588510423030962,2.3140450745460135,2.87289611684911
online,IP1,Gauss,0.99,2,8000,int,-0.5588510423030962,7.857706289329024,8.416557331632122
online,IP1,Gauss,0.99,2,8000,rot-mix,-0.5588510423030962,1.0992882185038253,1.6581392608069216
online,IP1,Gauss,0.99,5,500,int,-0.5588510423030962,-5.141603551112892,-4.582752508809795
online,IP1,Gauss,0.99,5,500,rot-mix,-0.5588510423030962,-4.205707875007059,-3.6468568327039623
online,IP1,Gauss,0.99,5,1000,int,-0.5588510423030962,-6.618303088495311,-6.059452046192215
online,IP1,Gauss,0.99,5,1000,rot-mix,-0.5588510423030962,-6.364145174599176,-5.805294132296079
online,IP1,Gauss,0.99,5,2000,int,-0.5588510423030962,-5.956131280201574,-5.397280237898477
online,IP1,Gauss,0.99,5,2000,rot-mix,-0.5588510423030962,-8.95250875352057,-8.393657711217474
online,IP1,Gauss,0.99,5,4000,int,-0.5588510423030962,9.759820935635057,10.318671977938154
online,IP1,Gauss,0.99,5,4000,rot-mix,-0.5588510423030962,3.0943691123163677,3.653220154619464
online,IP1,Gauss,0.99,5,8000,int,-0.5588510423030962,7.9221692631814875,8.481020305484583
online,IP1,Gauss,0.99,5,8000,rot-mix,-0.5588510423030962,-0.006835057446517707,0.5520159848565785
